"","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall"
"PENDIENTE",0.607218365200586,1.12404691704663e-07,0.424030485883811,0.0550029534860729,0.726519789390394,0.200291491641842,0.404719977282196,0.0816060927199189,0.0405294833890519,1.30424755691746,0.539482201057092,0.039275189893196,0.598086342656287,0.00357989447353769,0.140276260576238,0.0663726239575869,0.201188927349127,0.470630798572518,0.0101719741852822,0.188590921464504
"PH",0.644362436113743,6.39683304255126e-08,0.454075583630274,0.0864321485448996,1.07084759696007,0.0524330039746554,0.866550321892629,0.0350189549897059,0.0273019172138925,0.84838539303203,1.08369338759648,0.0955942443446514,0.852957854145966,0.00897764269089526,0.402355124821705,0.0133828118468241,0.125756531281836,0.411654227046986,0.132272022921691,0.585279020924651
"MAT_ORGANICA",0.57596664043089,7.21478776568921e-08,0.482092939759415,0.0493892646933081,0.781832898568535,0.102952898337003,0.576462284394851,0.122390239311597,0.0559432542332656,0.926018075550109,0.516115084452341,0.0344158571356818,0.905868878609785,0.0146064217266552,0.365929746028112,0.0350184305229242,0.105718591665473,0.683366978572106,0.0997648232877247,0.427682625200656
"DRE_INTERN",0.449419412441432,8.48792692028923e-08,0.735286619014053,0.0248522342062726,0.486309809657268,0.175514019128305,0.636116337678938,0.11977021443437,0.0339334495973214,1.67990790355873,0.605087845540349,0.0243773382460262,0.62632471268925,0.00900822651294584,0.130254581865271,0.0345027241489285,0.242512241937256,0.576725302331069,0.177173489626326,0.432103196949769
"PROF_EFEC",0.799833574763807,2.01195117237606e-08,0.0659548128529945,0,0.569174434809119,0.0919544330624409,1.1930852397183,0.11877155453464,0.0569530693857311,1.26602278201642,1.1257610149766,0.0150265153960284,0.896272610441978,0.010369160578103,0.162556242473231,0,0.0501248994600456,0.232848549173335,0.0917759237596563,1.04602292061574
"PText",1.07269035851275,1.5932957982463e-07,0.276506200001677,0.0438556801044306,0.389070551892046,0.164280321395928,1.00097903427884,0,0.0435474165791628,1.61261736203456,1.17358848788711,0.26849972127425,1.11626140754663,0.020507525840472,0.315301921623698,0.053441436021264,0.17443459379818,0.493014026934076,0.163508782227759,0.38459039211148
"Temp_Max_Avg_Veg",1.27125997999482,2.16882220365051e-07,1.07354050586905,0.106606082504786,1.67941916288392,0.342629218782938,1.13371045565012,0.237686141837435,0.0943580221307667,1.70885647167964,1.32391693952757,0.172795419951773,1.90945406551923,0.0213520099485528,0.408129587800382,0.0626782122866558,0.286608047415738,1.17367128071934,0.436727605943435,0.696848081480818
"Temp_Min_Avg_Veg",1.56813351763614,2.78753897055433e-07,1.63611962353475,0.106886344746731,1.17206765607897,0.402110435079997,1.78972897519863,0.40357926775916,0.210950959954023,1.9169417567573,1.50557660632919,0.243455122588301,2.20420708087924,0.033900865022175,0.417599792858482,0.0626979984692877,0.337927665231992,1.97258429618114,1.21020663525861,1.350532119244
"Temp_Avg_Veg",0.883223937846908,1.69317172566903e-07,1.1374662946429,0.102856785818605,1.30508592391714,0.331950528827897,1.25336640023927,0.185448029212849,0.101537758819753,1.96965653156529,1.3989309279803,0.285596973089038,2.02143580357775,0.0258454504758032,0.43287082945729,0.0580054490988081,0.291192267498722,1.13986374344907,0.821007570873875,0.992447677661591
"Diurnal_Range_Avg_Veg",0,0,0,0.0337335053686414,0.434438564129532,0,0,0.141714490301426,0.0210305471216334,0,0.473460817120165,0.0591224438167852,0.370120047867795,0,0.494742642613174,0.0102651844389491,0.287813994463287,1.00855025477276,0.041870284305284,0.126055994598412
"Sol_Ener_Accu_Veg",0.964327642897825,2.08313589133156e-07,1.07297289884845,0.0434422483273994,1.3796785323003,0.699008443413457,0.952769993114484,0.211592123411553,0.0633758338954714,2.31848655132026,1.98867723929827,0.49401149274999,1.53919098750708,0.0272960686861024,0.448519013418741,0.199829363808444,0.289843570285151,0.975196536852815,0.769016638450643,1.75341716360352
"Rain_Accu_Veg",0.754358681183233,6.09888022544256e-08,0.436954487397068,0.00596660589034254,0,0.18867168989045,0.350044117775205,0.317822919521765,0.0901235361427699,0.280002103068808,0,0.158833759221458,0.208905132205373,0.0117459781473888,0.263268657101832,0.0288499026279883,0.148801390584181,0.220332296331959,0.900284916018327,0.403194447927438
"Rain_10_Freq_Veg",0.401058363252281,9.80466888023001e-08,0.457319342494156,0.0598377175118296,0.184497003195157,0.199479462346593,0.203925739266313,0.178881835345722,0,0.211492039417442,0.331819792184106,0.0834599484322453,0,0.00299485624693091,0.223630218882678,0.00892684170713064,0.0730929618130758,0.225628990057428,0.45286370906077,0.0722095326412002
"Rhum_Avg_Veg",1.7222818620324,2.44847559264522e-07,1.50082682407309,0.117542669430415,1.71200900242293,0.40199661079556,1.38334236525356,0.35565248540798,0.1539551657728,2.3944516720431,1.32767986153751,0.233440948112115,2.17656083371339,0.0257248233466931,0.537842149859858,0.0413203775345497,0.324440277548801,1.39602155131243,1.17514959558362,0.995068222236212
"Rhum_sd_Veg",1.33801378993198,1.93862139648499e-07,1.21390143600698,0.13261923320357,2.09300204970686,0.363954005778599,1.17584705199635,0.345376494174869,0.135922315450913,1.94107714458543,1.6122374453299,0.181555281707271,2.23082781902331,0.0352806610776523,0.485966982843158,0.0470247331116556,0.306480011878402,0.836276271031437,1.05999113577877,1.30202357507638
"Temp_Max_Avg_For",1.36226777521432,1.75854029289765e-07,0.895965123287541,0.0715873252675729,1.49694274166666,0.274601037862895,1.1299075186033,0.261344923688728,0.0688454512703792,1.92208609762097,1.0452082650914,0.260890520162149,0.971180547586998,0.0213636882075793,0.506680944528698,0.0425325515144148,0.208100913368788,1.15954660064427,0.546513610913635,0.38322698177965
"Temp_Min_Avg_For",0.881490730863922,2.95275076434526e-07,0.900937254041314,0.135018007354467,1.2185954124155,0.414379833463931,0.913677512544416,0.2468157384399,0.105583527218364,1.96720419220622,1.22785489322079,0.140150044072866,2.04938905542865,0.020032417193636,0.440702936356324,0.0564618399802649,0.452671701944691,1.71935188009032,0.880513280704748,1.09055521002875
"Temp_Avg_For",0.737082560617948,1.51316715522598e-07,0.925332553025511,0.11803745784187,1.34681994887612,0.32700660238417,0.872793730794569,0.286392167100355,0.0581642005403988,1.50868863144779,1.15559779801411,0.129430106016098,1.05309046470602,0.0262249980986751,0.367272739711658,0.100961233569188,0.293483546973211,0.947697106363436,0.609864349587135,1.11956492671903
"Diurnal_Range_Avg_For",0.620993919187872,1.03848775124618e-07,0.493421067412066,0.070683813849413,0.89679940840585,0.252263683753486,0.643793122242343,0.192283536498359,0.0280865771618935,0.539688172928508,0.542576277944857,0.144214511985116,0.464632431916195,0.0135943420547552,0.265854622845809,0.029717272633666,0.0664635161662681,0.508102825782143,0.541779259290672,0.0547237125829319
"Sol_Ener_Accu_For",1.56706102655619,2.63943490324838e-07,0.970472809417442,0.0663183455540807,1.7268228529366,0.447447932133422,1.30791442675205,0.142178850736234,0.0598702097145276,1.84338133621077,1.75662419237536,0.435351072882332,2.01109662325831,0.0258548548590281,0.611197660685434,0.124407990681076,0.383592841240105,1.23533752474354,0.385082794161034,1.87680577678692
"Rain_Accu_For",0.708340502773183,8.87583867561537e-08,0.213376260218366,0.0233233359685777,0.374997191260815,0.165920217163001,0.179672061989251,0.325966151638475,0.100751545126954,0.184940156333232,0.480737085703847,0.129266034541008,0.474287734366926,0.00894701147986087,0.362416615035041,0.0435073924687126,0.166871573410974,0.384382669045702,0.814324905182929,0.517965838328199
"Rain_10_Freq_For",0.821976341538575,9.52543385732187e-08,0.215772191692648,0.0400551072207578,0.321639165855332,0.137929739137888,0.270120294655691,0.16525595795291,0.034656276352881,0.529338932535271,0.204352347173826,0.114693817438568,0.297798867522424,0.0125031836612836,0.326149224445228,0.0344292684217136,0.139096433926603,0.504126623791507,0.346271895019985,0.461532150788039
"Rhum_Avg_For",0.929136771141623,1.38145131572895e-07,0.879043746584341,0.10525595560646,1.44075362509719,0.2248819282835,1.05212612485614,0.303068714863742,0.0484021321150135,1.45426238581473,0.81678805329682,0.177902480467284,0.908917037948181,0.0114753741297713,0.330088762516648,0.0396370185962198,0.258489875180609,0.436740170372728,0.914798704365758,0.665647943370197
"Rhum_sd_For",0.722052724914225,2.53333557111515e-07,0.805900426929719,0.076310581695432,1.00645405976949,0.173121874182146,0.504005303904931,0.132701862004223,0.0487953980960098,1.19029435345191,0.706712276378019,0.00725335094652352,0.461163400285425,0.0114096158862919,0.286773306442603,0.00390743382173136,0.187436187443076,0.481310483375847,0.674251648801701,0.496550075990668
"Temp_Max_Avg_Mad",0.783891321129927,1.59776695993504e-07,0.732421361612643,0.0775990972892064,0.963435298576039,0.222604712398219,1.0155503589565,0.252274031454676,0.0751347852857041,1.35287268838198,0.908590503882809,0.168378709293699,0.889686318364184,0.0116328936353723,0.512480555487132,0.0301968029348369,0.242762707246013,0.541237835879001,0.500527680714975,0.467358344295554
"Temp_Min_Avg_Mad",0.72245029096224,2.19167082256332e-07,0.745490340253384,0.0654690977904062,1.1502724171617,0.366566003174303,0.847009740458405,0.208677407095862,0.0442413555029108,1.49555953082246,0.854583637165384,0.0857190994773656,0.958615085838627,0.0229024280109421,0.251966396028743,0.0442468299149502,0.208724557659969,0.908326199959469,1.14477238029873,0.529092268875927
"Temp_Avg_Mad",0.91639828834462,1.01264742940338e-07,0.585293950772984,0.0809623090316439,1.04153803127453,0.199314877627349,1.20649241772617,0.230100563168864,0.0591492539951325,0.90046118700158,0.797085884237152,0.163296487440629,0.468748686757949,0.011427186201463,0.399965196547794,0.038421249365965,0.27752194509398,0.428446424138052,0.44713690882305,0.558944284912064
"Diurnal_Range_Avg_Mad",1.05117455962946,1.03954341094539e-07,0.644654611645868,0.0687823878183013,1.01683664916854,0.169775403893502,1.38852604128496,0.317176959822108,0.184912544807013,1.4282124706574,1.39855122719047,0.0971713010301754,1.46514757080008,0.00885191496089416,0.364953257901393,0.042942552781447,0.244957273528847,0.545529969597385,1.10542383204238,0.999580240857301
"Sol_Ener_Accu_Mad",0.470023848601115,6.88610161382294e-09,0.410838366664047,0.0182791671835913,1.17828331684686,0.198477430713974,0.657202379025298,0.271484908616646,0.0348610731790824,0.554716523734115,0.144491338771711,0.0718453270785607,0.441430802412339,0.0105840666860823,0.132202271824592,0.0167795451145677,0.083745589929663,0.319085601125913,1.22655082399105,0
