"","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall"
"ContPlaQui",0.518326251998734,0.323650374703053,0.290272596209016,0.0146476803499244,0.0765617339140502,0.284169570523118,0.0608344340630501,0.248520461237861,0.331676999341332,0.3716124554502,0.257706859762442,0.19759084920592,0.511241505847747,0.133259454182508,0.0101565724533106,1.23667826866369,0.0397218455906048,0.324823494745783,0.0215383146991661,0.00516347364853613
"CanFerQui",0.240403249415889,0.239109376114773,0.0205407349169944,0.0100744319719057,0.493094109064043,0.150438481554972,0.0463527821561776,0.153913482858646,0.212433542710246,0.281535041215602,0.146110385221068,0.280268348242101,0.219880058032346,0.269067882960869,0,0.159119358890853,0.040112832735479,0.19266451042722,0.194349116876044,0.00184844234216217
"PENDIENTE",1.80824294049345,0.94717736290021,1.03282672267298,0.0732578989866261,2.65876948746431,1.53776555987215,1.89285892296994,0.91957908331529,1.08503714494844,1.14960774624194,0.613653003027326,1.46821650530252,1.18889989767579,1.07242766674041,1.07302484286552,1.56227301908751,0.408319360192321,1.60902892319787,1.50755971164533,0.0198281690434328
"PH",0.190798450815584,0.142305635582528,0.173752518284109,0.0254122089894655,0.960599515833484,0.359062574336099,0.209071078704334,0.243554541339803,0.116653950259144,0.418144589235816,0.163956449760806,0.161398052975899,0.436985893948672,0.699620226972251,0.0314957763742741,0.975693304698051,0.106706188870203,0.662107077876565,0.17002953594316,0.0115268962436799
"MAT_ORGANICA",0.374846119598261,0.328998373107848,0.188165475497336,0.00968177720908774,0.494899166953438,0.442707605585484,0.359625783053343,0.25020330449824,0.451295337735393,0.433961379801061,0.236847781828272,0.0529207499270812,0.554921115244842,0.188604789113429,0.153837700035923,0.884700188965392,0.0556885932848591,0.440602022560418,0.432693213001568,0.00276370168183971
"DRE_INTERN",0.783362120625275,0.492228437028558,0.367134246054695,0.0274085627488227,0.718631131492949,0.4949629031304,0.703063076942412,0.455844616911811,0.61093286923435,0.985258588310472,0.306170012624958,0.582836170018495,0.978979850992069,0.471412185480338,0.462331369791216,1.38748427938887,0.153992665560066,0.795227194326575,0.413750334209997,0.0149239958424558
"PROF_EFEC",0.989236253163456,0.393716378571501,0.298364410667797,0.0328777652307307,1.36941589396005,0.260126721453408,0.803375906999217,0.448469282174591,0.772048046150222,1.32355678179626,0.216695634009023,0.73608202275467,1.10628295236861,0.467277690413353,0.494886784005631,1.50307448347667,0.153755051015181,1.94214958157837,0.564065645527976,0.0150486402882238
"PText",2.25777566645321,0.885893296728381,0.800266258741898,0.0345045921593651,1.38418074787984,1.01622470123186,1.090743494569,0.785253715825048,0.881387113056152,3.41815282483986,0.960139706887781,1.49978735002229,1.04011860687309,0.458646477272291,0.22352036361686,2.94904009582154,0.313976291284989,1.8797430649912,1.47789727026222,0.0247058824161602
"Temp_Max_Avg_Veg",0,0.187722948708371,0.313510084772917,0.0217039809666017,1.47199831966201,0.774211370695596,0.833656845996209,0.338584841340692,0.116072874459014,0.266884372696584,0.301288737807265,0.446078484651987,0.930511495053462,0.172469130078139,0.0375487583292227,0.402622731365014,0.0923194323036875,0.598284708533894,0.335797215602546,0.0113500826865346
"Temp_Min_Avg_Veg",0.88788601172323,0.227012364752866,0.531053090954355,0.0188479232620136,1.10835381524445,0.617509925946758,0.661844867964496,0.273498515176789,0.280926209563039,1.33847520421678,0.481109985011234,0.378033412062435,0.596549507193956,0.25569849989792,0.405149125147333,0.886879953766286,0.241302828958734,0.467238286269923,0.369209938536158,0.0211175161849557
