"","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors"
"PText.FAr",1.27631680568095,4.36502881608533,1.96326791308549,13.1746387597289,1.78854665034608,3.88422003203756,0.792816597910632,2.74814176129733,3.75008952902514,1.08205819726569,0.389359868193222,0.0250179387153592,7.76178346503369,0.845288487703185,0.143653925123007,1.61922629739778,0.978304607065295,2.087178231018,1.88438916601329,0.0071551605663868
"PText.FrL",0.402023018619046,2.24177485619725,1.75688703909116,1.58285657288918,3.25565125497036,3.37064637428352,0.830890115811934,0.299749782418596,1.91439653163742,0.132329247589269,1.80166831883406,0.568670052729129,2.80379608280308,2.81622092829091,3.71092378390664,1.2850401028162,0.178153730134076,1.81655639604874,2.08781855006771,0.00692525186434603
"PText.L",0.0675860484690018,0.23851100949028,0.357526257756346,5.1022344365897,0.0979983004632096,0.109427771689822,0.819311700981574,0.0182480996949538,0.0106912997499292,1.84099111128948,0.883286497601766,0.143104338929225,5.4310579429636,1.65823042671718,7.34822924531855,4.46226663099838,1.11316063481771,0.513618455680413,5.86056765137285,0.0927377426120172
"Rain_Accu_Veg",0.0354120164623751,0.0089732826694662,0.0675571838281225,0.117731394132815,0.00542449228033786,0.0286882498936977,7.78543221301555e-05,0.208322518608128,0.00361790543152754,0.202470869564245,0.000397829589538556,0.00503587252906527,6.12646237365665e-05,0.124340468266373,1.43872578033601e-05,0.0012195022649409,0.00966909320704928,0.000597196108424847,0.0178983136046391,0.0476255093523719
"Sol_Ener_Accu_For",0.457748642370327,0.0870242456279495,0.0574961776092064,0.174112600956312,5.32788616730682e-05,0.00742431166093782,0.214309460204023,0.122255316316961,0.446375526428866,0.170768556532799,0.198113803614297,0.0807970996074668,0.00212861534489055,0.000744597066860365,0.0377241526422099,0.0207384522783702,0.044154242861051,0.0496802908370337,0.0015973596435177,4.5853785064298e-05
"Rhum_sd_For",0.142915852862969,0.0426217136512953,0.00245146986498192,0.390293584580988,0.0363302375063706,1.46275618750565,0.0426796112492682,0.0807232425103653,0.124942690855114,0.425364719817257,0.49230712217151,1.55073451708353,0.0221993767818971,0.672457828279499,0.00860783337217942,0.254387508661039,0.0505555829980014,2.62643387123864,0.00393416996089185,0.00612986031349484
"Temp_Min_Avg_Mad",0.0949818759960326,1.11497477582373,0.0286532025791743,0.31369172382221,0.00605264497971044,0.23812548345477,0.00104416093854007,0.222329758305555,0.188505061074895,0.604667857275823,0.14635211843901,0.0074749418607542,0.91978304762361,0.00465266589746552,0.135529895504395,0.839855084050875,0.2396548586079,0.662332637776436,0.0107862082678389,0
"Sol_Ener_Accu_Mad",0.37991938330677,0.420591824697028,1.09678023071236,1.45635297859519,0.304448069504645,0.00255604998403082,0.204222846227505,0.276596332185751,0.657678250239459,0.244435684779342,2.32293439539166,9.14862145751645e-05,0.656384942865088,0.122407339826716,0.627660087119687,1.06875516817972,0.505441317946196,0.37394339730069,0.070269855788705,0.00338748332976694
"Rain_10_Freq_Mad",0.622242824523635,0.001272037079481,1.26468669050142,0.0685963146150592,0.000490206481963794,0.186887950677507,0.0809122058359414,1.19825678038629,0.0107999515404324,0.177045257661922,0.653814462074988,0.225401599442318,0.111184015039285,1.29419440736785,1.68112295584949e-05,0.0166948794175092,0.127498976772544,0.00558040691284407,0.00455089711200057,0.172663260376271
"Rhum_sd_Mad",0.000518196466549539,0.0123178772519604,0.000881217103331286,0.178430894672606,0.0265249595078888,0.000485828153358465,0.0274874738491442,0.00116699006468266,0.158842074044509,0.0138709477682046,0.0775897439361346,0.238940191032977,0.00535192395566953,1.48623034436717e-06,0.00017446734070449,0.000138208661025732,1.23423437954698e-05,2.88919577979548e-05,0.00190434928573907,0.000622205934047095
