"","DIST_SURCOS","DIST_PLANTAS","POBLACION_20DIAS","ContMalQui","ContPlaQui","CanFerQui","PENDIENTE","PH","PROF_EFEC","Temp_Max_Avg_Veg","Temp_Min_Avg_Veg","Temp_Avg_Veg","Diurnal_Range_Avg_Veg","Sol_Ener_Accu_Veg","Rain_Accu_Veg","Rain_10_Freq_Veg","Rhum_Avg_Veg","Rhum_sd_Veg","Temp_Max_Avg_For","Temp_Min_Avg_For","Temp_Avg_For","Diurnal_Range_Avg_For","Sol_Ener_Accu_For","Rain_Accu_For","Rain_10_Freq_For","Rhum_Avg_For","Rhum_sd_For","Temp_Max_Avg_Mad","Temp_Min_Avg_Mad","Temp_Avg_Mad","Diurnal_Range_Avg_Mad","Sol_Ener_Accu_Mad","Rain_Accu_Mad","Rain_10_Freq_Mad","Rhum_Avg_Mad","Rhum_sd_Mad","TotN","Totp","Totk","RDT"
"Temp_Min_Avg_Veg",0.00577218050955023,-0.0198733919936715,0.0427673978733982,0.0119808552323115,0.252981816721696,-0.0163019898401318,0.349368572617446,0.12279205973069,-0.10706415649832,0.650415534187144,1,0.85078115361149,0.0932300415243832,-0.762113848275361,-0.586554780347263,-0.602384471190491,-0.852272514958514,0.805265268442029,0.715286388015339,0.835319630419067,0.874113478925247,0.423834614389403,-0.796823929128237,-0.355099775922776,-0.408837721547499,-0.626360694392954,0.451785052802973,0.659714230460867,-0.122568232065308,0.596158911501847,0.708289572247827,-0.0463432595095213,-0.841732639994837,-0.829392679539535,-0.606135209123529,-0.210929472410408,-0.0185442520239268,0.0253856945420642,-0.144126157904763,0.496987718241436
"Temp_Avg_Veg",-0.0163448928174337,-0.00923059113581198,0.0177677761254154,-0.163471347073489,0.178620048781554,0.166158046611242,0.411538469274771,0.16334202816461,-0.24267744866049,0.952535132973973,0.85078115361149,1,0.60254965971057,-0.880745271542,-0.781246274388401,-0.793782911062974,-0.982294495010116,0.890320442369532,0.967151017575619,0.518061554180041,0.986682721451815,0.81595610991055,-0.909655640644855,-0.525462679774347,-0.562045939674278,-0.829403846088335,0.443867133665725,0.909714573635294,0.0637111813887506,0.862791345169384,0.931569340149537,-0.217438512030416,-0.91015242262382,-0.879572776603246,-0.854609288561951,-0.0255244821746448,0.0957618374168049,0.134421713115951,-0.0322626550871879,0.427381219175458
"Diurnal_Range_Avg_Veg",-0.0397327745905726,0.0126925616171219,-0.0312860979118986,-0.327905716054809,-0.0457793963777529,0.339558197344978,0.249127453858397,0.122987768079944,-0.2971809527888,0.816908583815077,0.0932300415243832,0.60254965971057,1,-0.511265625710513,-0.589368788329079,-0.58908079349712,-0.566740151348414,0.463874715167602,0.746083526308216,-0.287044876171418,0.541885247470552,0.902244701631303,-0.513326408982985,-0.45626329256672,-0.44396437397254,-0.620156317664618,0.15484214838181,0.721659763541295,0.30684478754524,0.729277851302882,0.68929659678641,-0.341577360308269,-0.446066974723365,-0.406871205323298,-0.698625710729195,0.271969733291523,0.209591540356605,0.216121876449756,0.157752780988083,0.0549610734545807
"Sol_Ener_Accu_Veg",-0.219571472879228,-0.118397689806135,0.0741108752472131,0.346225762145855,-0.271419450226715,-0.324481642712082,-0.526980975103769,-0.323555737239304,0.0831301010686358,-0.831530319718019,-0.762113848275361,-0.880745271542,-0.511265625710513,1,0.790281622856296,0.80283450060112,0.878513708146303,-0.706573709735851,-0.851037539357599,-0.394184946615391,-0.848529550631002,-0.742497688061468,0.984397208964975,0.566492714856656,0.630898134527547,0.720813512159109,-0.386023426535236,-0.790931456137041,0.266393202577177,-0.693837385659389,-0.872330360856344,0.114713948413559,0.781987419261545,0.775236359445413,0.691236253913287,0.110248156133357,-0.249062470210133,-0.207414671986402,-0.03984486022862,-0.512030789447172
"Rain_Accu_Veg",-0.0388388175913244,0.0616458630691734,-0.00747809073989411,0.206615845000256,-0.186418597073322,-0.293652173583593,-0.222594060902095,-0.134921777699903,0.369365185170045,-0.789415677373737,-0.586554780347263,-0.781246274388401,-0.589368788329079,0.790281622856296,1,0.99729327166941,0.865896193507476,-0.833694311820335,-0.86169963790297,-0.134631699131433,-0.774705941604109,-0.856872752274626,0.731049020229791,0.802761112081465,0.827528125663814,0.899016854819311,-0.5709421294476,-0.830996573215684,-0.0956527577653647,-0.794686456583657,-0.843697390212101,0.342573892198931,0.562546723273221,0.490081027240399,0.713318695700182,0.244768156962035,-0.334718158954432,-0.109943249234631,-0.0157996262570633,-0.405639299808535
"Rain_10_Freq_Veg",-0.0442800533306323,0.0349007623222248,0.0104389341224276,0.20618527883407,-0.205815384185389,-0.289333940786854,-0.238314952325675,-0.141728122156824,0.37904895783198,-0.79836595064181,-0.602384471190491,-0.793782911062974,-0.58908079349712,0.80283450060112,0.99729327166941,1,0.876312432541141,-0.840161945964179,-0.86765508059196,-0.147423693112695,-0.783847622663251,-0.858082692611762,0.743295558211561,0.821300706546161,0.848255104591998,0.900478088403691,-0.585039031818728,-0.844550687311084,-0.0754467356148643,-0.803840245015494,-0.861679366101386,0.346388735951217,0.573098900522895,0.496851960021224,0.728559675835899,0.231753020051391,-0.31944416455324,-0.125342563136319,-0.00569368261995659,-0.391735915862268
"Rhum_Avg_Veg",0.0233211200151342,0.0167492066215219,-0.0117118173792024,0.145639576906651,-0.209097523786474,-0.18828764849611,-0.359040416436624,-0.140082029184016,0.284478359777581,-0.926079942395349,-0.852272514958514,-0.982294495010116,-0.566740151348414,0.878513708146303,0.865896193507476,0.876312432541141,1,-0.936975029895992,-0.968219420316399,-0.493999522324894,-0.979906765863224,-0.826643797860278,0.88386050197975,0.63263722072446,0.66553717579179,0.892867628912872,-0.54027568089188,-0.922461228023504,-0.079130527448763,-0.877422020982577,-0.941805340792482,0.268202134657332,0.857885566159913,0.806598308604077,0.849693398938955,0.0883595570055995,-0.140983737896935,-0.123507673046065,0.0226709807072025,-0.459601941492796
"Rhum_sd_Veg",-0.174414785460865,-0.121810408339871,0.118894034966437,-0.0644536238310825,0.18531660869334,0.0666458454355831,0.201855911573675,0.125635007813971,-0.397469687901554,0.820372926105526,0.805265268442029,0.890320442369532,0.463874715167602,-0.706573709735851,-0.833694311820335,-0.840161945964179,-0.936975029895992,1,0.883674254165106,0.494215229853186,0.908183650177215,0.73723895470417,-0.712404785540229,-0.664180524713199,-0.672806199319055,-0.884479330465337,0.655956464203971,0.884364265705582,0.276361173647893,0.876263211877042,0.864030576878113,-0.25825104757905,-0.7386505552398,-0.655895711264979,-0.833622091342291,-0.124844851737732,0.105840496535271,0.0332885481684402,-0.124133780881477,0.385153501487096
"Temp_Max_Avg_For",-0.0266800349637146,-0.0241648646690396,0.00492674429302985,-0.214453438400258,0.124637767709627,0.24958980067844,0.362299647625733,0.133979489630941,-0.290866985284026,0.983546519873505,0.715286388015339,0.967151017575619,0.746083526308216,-0.851037539357599,-0.86169963790297,-0.86765508059196,-0.968219420316399,0.883674254165106,1,0.326355626733381,0.95336340894912,0.926817644819366,-0.856137218865164,-0.629012008166966,-0.649951396952194,-0.90101567139622,0.469916038575772,0.954058806169602,0.173505252202925,0.923513878613697,0.956290820111932,-0.322399790225543,-0.833952538282773,-0.782107328715972,-0.894170263001596,0.000996616780525212,0.186884416299865,0.154070493848197,0.0227024441343651,0.396734178932896
"Temp_Min_Avg_For",-0.0970439781777314,-0.0842668173682481,0.155814602569244,0.0513540567467444,0.12407731273322,-0.30955480056028,0.22404437109721,0.00289010712394689,0.161886861055054,0.264905566292666,0.835319630419067,0.518061554180041,-0.287044876171418,-0.394184946615391,-0.134631699131433,-0.147423693112695,-0.493999522324894,0.494215229853186,0.326355626733381,1,0.596434518652069,-0.0524791978291571,-0.448546664591755,0.00783526414329703,-0.0269696769749854,-0.3211840819908,0.393076257049338,0.305500999832964,-0.0132898340903024,0.283674859806887,0.319566158767431,0.199481894480354,-0.617133531566083,-0.634779345433719,-0.321119413904678,-0.0146121717562592,-0.226065124962017,-0.143190568094164,-0.284345493993507,0.32860435883685
