"ID","SEM_TRATADAS","DIST_SURCOS","DIST_PLANTAS","COLOR_ENDOSPERMO","CULT_ANT","DRENAJE","POBLACION_20DIAS","TIPO_MATERIAL","ALMACENAMIENTO_FINCA","ContMalQui","ContPlaQui","CanFerQui","PENDIENTE","PH","MAT_ORGANICA","DRE_INTERN","PROF_EFEC","PText","Temp_Max_Avg_Veg","Temp_Min_Avg_Veg","Temp_Avg_Veg","Diurnal_Range_Avg_Veg","Sol_Ener_Accu_Veg","Rain_Accu_Veg","Rain_10_Freq_Veg","Temp_Min_15_Freq_Veg","Rhum_Avg_Veg","Rhum_sd_Veg","Temp_Max_Avg_For","Temp_Min_Avg_For","Temp_Avg_For","Diurnal_Range_Avg_For","Sol_Ener_Accu_For","Rain_Accu_For","Rain_10_Freq_For","Temp_Min_15_Freq_For","Rhum_Avg_For","Rhum_sd_For","Temp_Max_Avg_Mad","Temp_Min_Avg_Mad","Temp_Avg_Mad","Diurnal_Range_Avg_Mad","Sol_Ener_Accu_Mad","Rain_Accu_Mad","Rain_10_Freq_Mad","Temp_Min_15_Freq_Mad","Rhum_Avg_Mad","Rhum_sd_Mad","TotN","Totp","Totk","RDT"
"1915","SI",0.8,0.2,"Blanco","Arroz","VERDADERO",75000,"Hibrido","NO",2,0,5,1,6,"BAJA","LENTO A MUY LENTO",18,"Ar",32.57820178,22.59134615,27.58477397,9.986855626,44105.51093,379.8,0.125,0,81.87262549,7.789090976,32.16166667,22.50333333,27.3325,9.658333333,24879.09587,156.4,0.083333333,0,85.26666667,4.072467672,32.54666667,22.43666667,27.49166667,10.11,23767.52158,146.8,0.083333333,0,79.26547815,7.769626734,196,18,18,5000
"1934","NO",0.8,0.2,"Amarillo","Arroz","VERDADERO",82500,"Hibrido","NO",2,4,4,2,6,"BAJA","LENTO A MUY LENTO",15,"ArL",30.44763715,24.70977682,27.57870698,5.737860329,32466.11194,222.2,0.057692308,0,72.41389036,7.883620809,30.00021256,25.4852299,27.74272123,4.514982656,19103.32705,136,0.066666667,0,69.62167066,7.929163166,33.53831117,24.93809031,29.23820074,8.600220862,14070.95617,2.2,0,0,67.18688716,5.950500975,110,58,18,6000
"1957","NO",0.8,0.2,"Amarillo","Arroz","VERDADERO",78900,"Hibrido","SI",1,1,4,2,6,"BAJA","LENTO A MUY LENTO",20,"FAr",30.34276886,24.74072584,27.54174735,5.602043021,32501.69507,223.3,0.057692308,0,72.25278128,7.907968871,29.66955347,25.51636747,27.59296047,4.153186,18951.26718,138.6,0.066666667,0,69.54585237,7.849092243,34.4087161,24.5809703,29.4948432,9.827745799,9946.579291,1.9,0,0,67.98122271,7.007051047,66,94,54,5000
"1960","SI",0.8,0.2,"Amarillo","Arroz","VERDADERO",78000,"Hibrido","SI",2,3,4,2,5,"BAJA","LENTO A MUY LENTO",18,"FAr",32.50769231,22.49423077,27.50096154,10.01346154,42398.29209,278,0.086538462,0,81.41237522,7.103767974,32.18666667,22.78333333,27.485,9.403333333,23280.40196,181.6,0.1,0,79.73214482,7.725844458,32.29279482,22.67400676,27.48340079,9.618788062,21379.37238,283.4,0.169811321,0,82.87154475,5.945914308,132,40,0,6000
"2096","NO",0.8,0.15,"Amarillo","Maiz","VERDADERO",73000,"Hibrido","NO",2,3,4,0.5,6,"MEDIA","BUENO",70,"L",32.53173077,23.04134615,27.78653846,9.490384615,44780.14211,322.4,0.096153846,0,79.42067308,8.729830196,32.71833333,23.375,28.04666667,9.343333333,25483.84386,76.6,0.05,0,76.75972222,9.73874044,35.67352941,23.43823529,29.55588235,12.23529412,15216.02871,43.2,0.058823529,0,66.1997549,8.490969774,138,0,60,4500
"2123","SI",0.8,0.17,"Amarillo","Maiz","VERDADERO",75000,"Hibrido","NO",2,2,4,1.5,6.5,"MEDIA","BUENO",44,"L",32.64807692,23.02115385,27.83461538,9.626923077,45058.54242,321.2,0.096153846,0,79.08333333,8.870217462,32.78333333,23.37333333,28.07833333,9.41,25534.31276,75.4,0.05,0,76.36111111,9.770686643,35.71818182,23.44545455,29.58181818,12.27272727,14879.97129,43.2,0.060606061,0,66.27146465,8.612159078,82,64,78,3000
"2240","SI",0.8,0.15,"Amarillo","Maiz","VERDADERO",75000,"Hibrido","NO",3,2,4,1.5,6.5,"MEDIA","BUENO",30,"FAr",32.71826923,23.05865385,27.88846154,9.659615385,45206.93476,321,0.096153846,0,78.76682692,9.232416301,32.84166667,23.34,28.09083333,9.501666667,25521.48022,75.4,0.05,0,75.96319444,10.02180735,35.659375,23.534375,29.596875,12.125,14369.77033,43.2,0.0625,0,66.52734375,8.621571635,100,5,50,4500
"2287","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",71000,"OGM","NO",2,2,4,1.7,6,"MEDIA","BUENO",66,"FA",32.42908714,22.31003525,27.3695612,10.11905189,42111.30262,147.2,0.038461538,0,81.05949648,6.779192711,32.53666667,21.955,27.24583333,10.58166667,24664.26029,42.4,0.016666667,0,78.78497357,7.135119441,33.91153759,22.23089243,28.07121501,11.68064516,13671.9635,68.6,0.096774194,0,75.9346664,7.550250069,98,18,78,4800
"2308","NO",0.8,0.15,"Amarillo","Maiz","VERDADERO",74000,"Hibrido","NO",3,2,4,1.5,6.5,"MEDIA","BUENO",70,"FrL",33.08653846,23.16730769,28.12692308,9.919230769,45188.33189,272,0.096153846,0,77.10216346,10.02662966,33.24166667,23.45833333,28.35,9.783333333,25177.58548,90.8,0.066666667,0,73.95347222,11.43026246,35.66129032,23.81935484,29.74032258,11.84193548,13921.49282,27.6,0.032258065,0,65.48252688,9.660910488,184,0,0,6200
"2309","NO",0.8,0.15,"Blanco","Maiz","VERDADERO",74000,"OGM","NO",3,2,4,1,6.5,"MEDIA","BUENO",40,"FAr",33.08653846,23.16730769,28.12692308,9.919230769,45188.33189,272,0.096153846,0,77.10216346,10.02662966,33.24166667,23.45833333,28.35,9.783333333,25177.58548,90.8,0.066666667,0,73.95347222,11.43026246,35.66129032,23.81935484,29.74032258,11.84193548,13921.49282,27.6,0.032258065,0,65.48252688,9.660910488,184,0,0,2800
"2317","NO",0.9,0.16,"Blanco","Arroz","VERDADERO",65900,"OGM","NO",3,0,5,1.4,6.5,"MEDIA","BUENO",50,"FA",36.42376676,22.65747617,29.54062146,13.76629058,37222.15271,12.5,0,0,69.62098477,8.515439814,37.20799714,22.175,29.69149857,15.03299714,21524.09481,1,0,0,67.24289336,7.993686098,39.42666885,23.53913043,31.48289964,15.88753842,8372.551494,0.1,0,0,57.2927181,8.278800115,88,76,76,3000
"2326","SI",0.8,0.16,"Amarillo","Arroz","VERDADERO",70300,"Hibrido","NO",3,3,6,1.6,6,"MEDIA","LENTO A MUY LENTO",17,"FA",34.15000685,24.44977836,29.29989261,9.700228487,37428.90989,12.9,0,0,69.03297019,9.668095932,34.99037777,23.66445688,29.32741733,11.32592089,21094.76993,11.5,0,0,72.16518289,9.77400962,37.44045064,22.19090909,29.81567987,15.24954155,16080.51586,0.9,0,0,65.6600338,5.277599906,91,58,98,2800
"2328","NO",0.8,0.16,"Blanco","Arroz","VERDADERO",70000,"OGM","NO",4,3,6,1.8,6,"MEDIA","BUENO",51,"FA",35.83921333,23.25442086,29.5468171,12.58479247,37174.11648,12.3,0,0,69.16173961,9.177287083,36.14693177,22.45833333,29.30263255,13.68859844,20943.09257,1.6,0,0,71.22997159,8.458447605,39.33166824,22.55625,30.94395912,16.77541824,12166.07302,0.3,0,0,58.74592309,7.622246136,180,18,18,6000
"2335","NO",0.8,0.17,"Blanco","Maiz","VERDADERO",75000,"OGM","SI",2,3,3,1,6.5,"MEDIA","BUENO",70,"L",32.64807692,23.02115385,27.83461538,9.626923077,45058.54242,321.2,0.096153846,0,79.08333333,8.870217462,32.78333333,23.37333333,28.07833333,9.41,25534.31276,75.4,0.05,0,76.36111111,9.770686643,35.71818182,23.44545455,29.58181818,12.27272727,14879.97129,43.2,0.060606061,0,66.27146465,8.612159078,64,18,58,5000
"2336","NO",0.8,0.15,"Blanco","Maiz","VERDADERO",74000,"OGM","NO",2,3,4,1.5,6.5,"MEDIA","BUENO",70,"FAr",32.64807692,23.02115385,27.83461538,9.626923077,45058.54242,321.2,0.096153846,0,79.08333333,8.870217462,32.78333333,23.37333333,28.07833333,9.41,25534.31276,75.4,0.05,0,76.36111111,9.770686643,35.71818182,23.44545455,29.58181818,12.27272727,14879.97129,43.2,0.060606061,0,66.27146465,8.612159078,98,18,58,4000
"2337","SI",0.8,0.15,"Blanco","Maiz","VERDADERO",75000,"OGM","SI",3,2,4,1.4,6.5,"MEDIA","BUENO",70,"FAr",32.4625,23.01923077,27.74086538,9.443269231,44835.26172,330.8,0.096153846,0,80.07532051,8.16857574,32.74,23.28,28.01,9.46,26019.79601,76.6,0.05,0,77.67361111,8.883674796,35.52820513,23.68205128,29.60512821,11.84615385,17018.00957,43.2,0.051282051,0,65.03311966,8.601943818,44,41,76,3500
"2343","NO",0.8,0.15,"Blanco","Maiz","VERDADERO",74000,"Hibrido","NO",3,2,4,1.2,6.5,"MEDIA","BUENO",40,"FAr",32.64807692,23.02115385,27.83461538,9.626923077,45058.54242,321.2,0.096153846,0,79.08333333,8.870217462,32.78333333,23.37333333,28.07833333,9.41,25534.31276,75.4,0.05,0,76.36111111,9.770686643,35.79142857,23.58571429,29.68857143,12.20571429,15764.29665,43.2,0.057142857,0,65.54642857,8.891960983,100,54,54,2600
"2346","NO",0.85,0.16,"Amarillo","Maiz","VERDADERO",72000,"OGM","NO",1,1,6,1.9,6,"MEDIA","BUENO",52,"FA",36.24763681,22.80167873,29.52465777,13.44595807,37131.90178,12.5,0,0,69.69286683,8.420007589,36.89859844,22.23666667,29.56763255,14.66193177,21278.79504,1.8,0,0,68.31318415,7.797967222,39.95039363,23.23823529,31.59431446,16.71215834,12800.37925,0.1,0,0,55.46904712,7.625735865,166,66,46,7000
"2349","SI",0.8,0.16,"Blanco","Arroz","VERDADERO",72300,"OGM","NO",2,3,6,1.7,6,"MEDIA","BUENO",40,"A",31.95697176,22.53407371,27.24552274,9.422898044,41274.12607,311.8,0.086538462,0,83.69557508,5.526198603,31.89382159,22.4590611,27.17644135,9.434760488,24074.71661,77,0.033333333,0,83.4010958,6.030444934,33.31333333,22.03666667,27.675,11.27666667,12801.92297,25.2,0.033333333,0,76.19450483,5.500454012,132,40,120,4000
"2429","NO",0.8,0.15,"Amarillo","Maiz","VERDADERO",75000,"OGM","NO",3,2,3,0.5,6.5,"MEDIA","BUENO",30,"L",32.42692308,22.92403846,27.67548077,9.502884615,44671.96986,338.4,0.096153846,0,80.93790064,6.752419248,32.575,23.05,27.8125,9.525,25782.00654,79.6,0.05,0,79.42222222,6.898666536,35.3775,23.78,29.57875,11.5975,17576.26794,43.2,0.05,0,64.89479167,8.493403819,74,48,28,3200
"2563","NO",0.8,0.15,"Blanco","Maiz","VERDADERO",74000,"Hibrido","NO",3,2,3,1.5,7,"MEDIA","BUENO",70,"ArA",33.65096154,23.31153846,28.48125,10.33942308,45475.04003,167,0.057692308,0,74.01883013,10.40999767,34.34166667,23.54666667,28.94416667,10.795,25522.79426,53.8,0.033333333,0,69.57708333,10.43646938,36.81071429,24.68214286,30.74642857,12.12857143,12622.90909,4.6,0,0,61.30654762,8.243740722,72,23,18,6000
"2599","NO",0.8,0.15,"Blanco","Arroz","VERDADERO",74000,"OGM","NO",2,2,3,3,6,"MEDIA","BUENO",40,"FA",33.04519231,23.16442308,28.10480769,9.880769231,45220.1118,268.2,0.086538462,0,77.39983974,10.13152369,33.255,23.49166667,28.37333333,9.763333333,25325.80558,75.4,0.05,0,73.98472222,11.37101932,36.04705882,23.99411765,30.02058824,12.05294118,22732.88038,47.6,0.039215686,0,64.81862745,8.855831504,40,88,28,7000
"2634","NO",0.8,0.15,"Amarillo","Maiz","VERDADERO",75000,"Hibrido","NO",3,2,3,1.2,6.5,"MEDIA","BUENO",68,"L",32.48653846,23.00288462,27.74471154,9.483653846,45012.33349,330.8,0.096153846,0,80.25240385,7.901605557,32.73833333,23.21333333,27.97583333,9.525,26167.58548,76.6,0.05,0,78.01736111,8.50027449,35.37837838,23.5972973,29.48783784,11.78108108,16017.33014,43.2,0.054054054,0,65.63851351,8.385663552,82,36,36,4200
"2801","NO",0.85,0.16,"Amarillo","Arroz","VERDADERO",71500,"OGM","NO",2,3,5,1.7,6,"MEDIA","BUENO",64,"ArA",35.95383199,23.17911017,29.56647108,12.77472182,37247.71542,12.4,0,0,69.1151445,9.206211382,36.31359844,22.32833333,29.32096589,13.9852651,21025.4275,1.6,0,0,70.67181942,8.331783636,39.47814954,22.89166667,31.18490811,16.58648288,13541.30747,0.3,0,0,57.70124176,7.530515341,159,40,0,5000
"2811","NO",0.8,0.15,"Amarillo","Arroz","VERDADERO",70100,"OGM","NO",3,3,5,1.7,7,"MEDIA","BUENO",70,"FA",32.2656256,22.32061218,27.29311889,9.945013428,41769.94425,280.2,0.076923077,0,81.95910502,6.543080402,32.22333333,22.03,27.12666667,10.19333333,24385.91914,45.2,0.016666667,0,80.31455471,7.25756758,33.95713058,22.16284487,28.05998773,11.79428571,15384.63296,68.8,0.085714286,0,75.04279059,7.268933496,160,26,6,4400
