"","DIST_SURCOS","DIST_PLANTAS","POBLACION_20DIAS","ContMalQui","ContPlaQui","CanFerQui","PENDIENTE","PH","PROF_EFEC","Temp_Max_Avg_Veg","Temp_Min_Avg_Veg","Temp_Avg_Veg","Diurnal_Range_Avg_Veg","Sol_Ener_Accu_Veg","Rain_Accu_Veg","Rain_10_Freq_Veg","Rhum_Avg_Veg","Rhum_sd_Veg","Temp_Max_Avg_For","Temp_Min_Avg_For","Temp_Avg_For","Diurnal_Range_Avg_For","Sol_Ener_Accu_For","Rain_Accu_For","Rain_10_Freq_For","Rhum_Avg_For","Rhum_sd_For","Temp_Max_Avg_Mad","Temp_Min_Avg_Mad","Temp_Avg_Mad","Diurnal_Range_Avg_Mad","Sol_Ener_Accu_Mad","Rain_Accu_Mad","Rain_10_Freq_Mad","Rhum_Avg_Mad","Rhum_sd_Mad","TotN","Totp","Totk","RDT"
"Temp_Min_Avg_Veg",-0.313713740852323,-0.0302975250148537,0.175550495299027,-0.130167326038803,-0.252179498306747,-0.143872646404852,0.419193922209778,-0.0538633877807886,-0.388590163436356,-0.410054251594759,1,0.0807300706717739,-0.699992673322158,-0.488287793460322,-0.450965154663454,-0.462080822452633,-0.385039300689351,0.398136442574721,-0.321172839786544,0.876079892329206,0.0833906452476634,-0.545935923789578,-0.390494983226193,-0.304140743393175,-0.355078829608424,-0.327905533769834,0.28212929529899,-0.197264697007428,0.683093233411185,0.066321976177006,-0.394489796791051,-0.041861528189033,-0.41170311877193,-0.523845249847187,-0.445660988708395,0.10343145311727,-0.119814502784167,0.0797430652917051,-0.0448228039575442,0.149888773878422
"Temp_Avg_Veg",0.527005072456633,0.0572057154316474,-0.376589585767097,-0.102813152845962,0.122338460573049,0.0735833687913502,0.0695655711158508,0.0999147342158564,0.101470979145297,0.875980457892775,0.0807300706717739,1,0.655308581408899,-0.545059929234593,-0.669762293818806,-0.658035503427444,-0.83120252603056,0.42163396585307,0.880923094063429,-0.242923657131814,0.92523639309336,0.758575331541414,-0.552519978547311,-0.595944281899672,-0.605600342024831,-0.596485996431197,0.172896069206724,0.840066124153202,-0.117924758831237,0.819712820791003,0.761067554236967,-0.172393952421058,-0.485017716970431,-0.562668241225489,-0.55935899899793,0.203529245374637,0.0784730122848111,-0.0418016952791963,-0.0710597876493172,-0.201371462767947
"Diurnal_Range_Avg_Veg",0.615336355584108,0.0639477656537838,-0.402860444503592,0.0249808795226945,0.278764530817288,0.161753353307752,-0.267836821760602,0.11240732535506,0.367189973394154,0.938383452296271,-0.699992673322158,0.655308581408899,1,-0.0204877411095206,-0.138119965146227,-0.121294012670929,-0.303750968314702,0.00037427637588923,0.874567363632611,-0.837975916560255,0.599725030522919,0.95723987967057,-0.0999435813717477,-0.196498854218903,-0.164814654508512,-0.178877201109503,-0.0899293419076037,0.751391899719295,-0.602163609123872,0.53705382184555,0.844254375628225,-0.0917941838469562,-0.0355067138080243,-0.00615721707158299,-0.0630369408744413,0.0674424334652078,0.147024626880884,-0.0903825138515829,-0.0169452475303818,-0.257871303157599
"Sol_Ener_Accu_Veg",-0.419775412332593,-0.352726229393954,0.189242390824813,0.163114736884158,-0.0748056182821501,-0.253740300495919,-0.400859672796088,0.0626918673173765,0.187980968279925,-0.26246069416337,-0.488287793460322,-0.545059929234593,-0.0204877411095206,1,0.611983119005262,0.625600442953859,0.721106533153014,-0.1492819556218,-0.257339418334107,-0.219916054755849,-0.425683636988727,-0.122102874455974,0.938637711819542,0.361995535273095,0.41944878269645,0.489183172650967,0.121221750202902,-0.375960411770532,-0.0930764753895991,-0.424446124474453,-0.292587301563421,0.219953302006353,0.520770308034976,0.67065741793381,0.361314432959662,0.093343668872843,-0.194062459458532,-0.12558737228376,-0.0244580635783225,0.0512118617404276
"Rain_Accu_Veg",-0.430682200711314,0.0688846742883347,0.165080981474388,0.188676927869904,0.134791229719835,-0.134117010685357,-0.282933072337245,-0.0170900946519806,0.0335524106962519,-0.394630723868889,-0.450965154663454,-0.669762293818806,-0.138119965146227,0.611983119005262,1,0.98854193180993,0.712405206050088,-0.540332393725155,-0.484125351136145,-0.131202750905754,-0.649894099157327,-0.32634453541694,0.455183412325786,0.813822197045161,0.856823725682982,0.6256275791848,-0.295202732889523,-0.376787810609678,-0.285138029399016,-0.501141230108211,-0.230066947349409,0.099565403570415,0.414369674993299,0.500979941250752,0.650071809761968,-0.282713018189239,-0.0949601802035266,-0.163327232779909,0.024172691572822,0.0420723538122826
"Rain_10_Freq_Veg",-0.424367726817773,0.052080691326478,0.148375457096556,0.230071021456823,0.136015231879743,-0.0917829855047921,-0.284303229920441,-0.0106966473545638,0.051020232577543,-0.378520987527118,-0.462080822452633,-0.658035503427444,-0.121294012670929,0.625600442953859,0.98854193180993,1,0.696989526705964,-0.528781992562721,-0.472345871245345,-0.14387917927685,-0.642558931257288,-0.312976165161284,0.445425280928275,0.800422374210842,0.860494036669,0.620592859534145,-0.295470532366925,-0.371878588707531,-0.283047926511393,-0.495253475504702,-0.226534379406648,0.0809503021650839,0.436116252346749,0.519793394597287,0.662912744388684,-0.286036292245523,-0.0540782381417575,-0.175599740379838,0.0408215119793975,0.0447674539570667
"Rhum_Avg_Veg",-0.356507989338899,-0.111009224732067,0.2497932748036,0.142450926663329,-0.0262435989287263,-0.077793502130741,-0.321338552878396,-0.0805053154052808,0.0950721593932042,-0.574259505100063,-0.385039300689351,-0.83120252603056,-0.303750968314702,0.721106533153014,0.712405206050088,0.696989526705964,1,-0.613146232543403,-0.633379793599118,-0.126294496324578,-0.826022764391174,-0.442470237757389,0.681335921200452,0.507897719113033,0.531148559061693,0.851510015597895,-0.299539537345109,-0.629713801841434,-0.223462499657969,-0.737604825636654,-0.467824301949669,0.22098593166345,0.482579522323233,0.560857941382445,0.638620197688957,-0.154369565347792,-0.090461640216077,0.0698164475079314,0.0473647694563394,0.0299991824473506
"Rhum_sd_Veg",0.0474871712789207,-0.0160529007456928,-0.195534749683639,-0.289184740654572,-0.0573849306047406,-0.273607989754702,0.211996651388311,0.265468349771662,0.0783873241215904,0.19314662627236,0.398136442574721,0.42163396585307,0.00037427637588923,-0.1492819556218,-0.540332393725155,-0.528781992562721,-0.613146232543403,1,0.358009045682882,0.311571798361404,0.595214082207764,0.167944434765568,-0.00562641940750662,-0.547134861526659,-0.525275936650805,-0.770839208209112,0.847382162698804,0.352753636305039,0.506245827198655,0.563668863008267,0.136609165118675,0.11243982140416,-0.279923638274682,-0.240438384679193,-0.790777566235342,0.589929092036799,-0.0591654327449435,-0.197792645927014,-0.211636575875096,-0.020321736918426
"Temp_Max_Avg_For",0.591180612978019,-0.0105708385580431,-0.404668039388341,-0.0999245352809972,0.169136710436687,0.0864274273357795,-0.0933285329153344,0.142318815052295,0.27599706275193,0.961510711211116,-0.321172839786544,0.880923094063429,0.874567363632611,-0.257339418334107,-0.484125351136145,-0.472345871245345,-0.633379793599118,0.358009045682882,1,-0.562438933732199,0.897148634729737,0.959172758925906,-0.24384941985794,-0.487523907256667,-0.467635035480212,-0.530735506353053,0.172540421377562,0.831058529158191,-0.310304210660705,0.734456733543216,0.8166596764574,-0.0946577377318805,-0.257601052403731,-0.283479335330762,-0.399069987869538,0.251329765815532,0.087781216207169,-0.0828849828858796,-0.0566843972546241,-0.258150889675309
"Temp_Min_Avg_For",-0.502177553297971,0.0478895662986394,0.28980073212355,-0.11692185399901,-0.244438315915689,-0.278808953312922,0.331936773764666,-0.105584999618235,-0.378908209536877,-0.646244720516024,0.876079892329206,-0.242923657131814,-0.837975916560255,-0.219916054755849,-0.131202750905754,-0.14387917927685,-0.126294496324578,0.311571798361404,-0.562438933732199,1,-0.139352803867309,-0.773323342228311,-0.121979994057544,-0.0542157467398183,-0.0793899189335216,-0.259260118373622,0.349757719394512,-0.406675453067136,0.83245525138841,-0.0906426215426521,-0.623703789354792,-0.0316585953340236,-0.239421599258233,-0.283917788035186,-0.284909551004776,0.0997932593634216,-0.199760750219539,0.0341862535259305,-0.0793187250286215,0.153249169922994
"Temp_Avg_For",0.439730267304086,0.0129245303463055,-0.329817945941076,-0.182136223421966,0.0719740835218788,-0.0454427195762263,0.0655606889045741,0.11403703371583,0.128113767604969,0.806280659090437,0.0833906452476634,0.92523639309336,0.599725030522919,-0.425683636988727,-0.649894099157327,-0.642558931257288,-0.826022764391174,0.595214082207764,0.897148634729737,-0.139352803867309,1,0.73559042967926,-0.357206504272356,-0.612834904694894,-0.602464497535911,-0.774128706262459,0.393492606397175,0.778034900519058,0.0731012410493346,0.831178956718209,0.644845672286044,-0.130277694107017,-0.436417581259571,-0.491181617229254,-0.630145702111048,0.354312154564502,-0.0015908274227495,-0.0810015236066705,-0.110261731734984,-0.227296399291804
"Diurnal_Range_Avg_For",0.62508164661269,-0.0244862756077331,-0.409422002959577,-0.0366279401139348,0.21330266142201,0.16163850259598,-0.185102611859942,0.145244086503896,0.341237648154965,0.958325383388014,-0.545935923789578,0.758575331541414,0.95723987967057,-0.122102874455974,-0.32634453541694,-0.312976165161284,-0.442470237757389,0.167944434765568,0.959172758925906,-0.773323342228311,0.73559042967926,1,-0.14525797799557,-0.355283975614719,-0.331422541383052,-0.318282625118625,0.0126674055464414,0.776351097571326,-0.52268012649366,0.594178535295446,0.839544900522798,-0.0617537717788312,-0.115631607315547,-0.120254864881061,-0.208549400591421,0.15858282196877,0.135638078654696,-0.075248817826066,-0.01633400728473,-0.250366539875408
"Sol_Ener_Accu_For",-0.385238131292591,-0.374712403346922,0.203564582018867,0.0677150484083934,-0.164286204813276,-0.290807639087325,-0.364381977971066,0.0630596502172984,0.177294914749584,-0.316611492152474,-0.390494983226193,-0.552519978547311,-0.0999435813717477,0.938637711819542,0.455183412325786,0.445425280928275,0.681335921200452,-0.00562641940750662,-0.24384941985794,-0.121979994057544,-0.357206504272356,-0.14525797799557,1,0.231835070450586,0.277850281116107,0.343014336866748,0.260002301860931,-0.409809730733905,0.059127222347713,-0.399248979342106,-0.371798577858496,0.27036026020131,0.441310005683587,0.590158557773241,0.205718259975234,0.25258800296337,-0.221658550023533,-0.0943736183051168,-0.0536264272041751,0.0266752942207441
"Rain_Accu_For",-0.425199909078253,0.0256996326759325,0.307329673166206,0.169197196224521,-0.0210854149709709,0.102606836260226,-0.053707737505977,-0.242550779289712,-0.347661298215828,-0.398135880025888,-0.304140743393175,-0.595944281899672,-0.196498854218903,0.361995535273095,0.813822197045161,0.800422374210842,0.507897719113033,-0.547134861526659,-0.487523907256667,-0.0542157467398183,-0.612834904694894,-0.355283975614719,0.231835070450586,1,0.972493993609875,0.485952581866851,-0.463521921222536,-0.506481830407217,-0.230479831441764,-0.613298582439086,-0.359565797462003,0.186909283541476,0.511276203968655,0.449628812983913,0.69562811430948,-0.422623540853309,0.0343199598872352,-0.0948975500569914,0.101766224666614,0.31627817804105
"Rain_10_Freq_For",-0.407944458607968,0.064121284033019,0.253023035859,0.204587651544073,0.0407170719024301,0.0655776850391694,-0.14494568842978,-0.190142890409642,-0.241546090995121,-0.382321366035909,-0.355078829608424,-0.605600342024831,-0.164814654508512,0.41944878269645,0.856823725682982,0.860494036669,0.531148559061693,-0.525275936650805,-0.467635035480212,-0.0793899189335216,-0.602464497535911,-0.331422541383052,0.277850281116107,0.972493993609875,1,0.487469601396478,-0.389604268578792,-0.452541621386524,-0.240583513412692,-0.561665011814514,-0.30986451230205,0.132494176866735,0.48887908251183,0.457228775565558,0.690985168857326,-0.347672193961707,0.0413562479539582,-0.129451034245089,0.0589887864750535,0.249388689896989
"Rhum_Avg_For",-0.271288427672757,-0.0595730417027047,0.191071542369146,0.229424436049664,0.0446508323798927,0.080392535340033,-0.315603537217071,-0.0895876129971099,0.0239478433785806,-0.387131172901426,-0.327905533769834,-0.596485996431197,-0.178877201109503,0.489183172650967,0.6256275791848,0.620592859534145,0.851510015597895,-0.770839208209112,-0.530735506353053,-0.259260118373622,-0.774128706262459,-0.318282625118625,0.343014336866748,0.485952581866851,0.487469601396478,1,-0.586903419180232,-0.469977427463767,-0.507155517875026,-0.684909697042152,-0.237092375637741,0.143330075776701,0.369922001660463,0.388818998803407,0.70988772157021,-0.371828389603354,-0.00620215386448621,0.117292628777943,0.114921961015311,0.0401063156461667
"Rhum_sd_For",-0.0571242143516335,-0.0192299533921846,-0.170043027006542,-0.239877518996203,0.0806587206005374,-0.419271002615414,0.0467849338939893,0.259151758441328,0.230388207620248,0.0216784390796201,0.28212929529899,0.172896069206724,-0.0899293419076037,0.121221750202902,-0.295202732889523,-0.295470532366925,-0.299539537345109,0.847382162698804,0.172540421377562,0.349757719394512,0.393492606397175,0.0126674055464414,0.260002301860931,-0.463521921222536,-0.389604268578792,-0.586903419180232,1,0.25560357472647,0.514068635314305,0.466576451663632,0.0505092985891069,0.0457397062559287,-0.248151719988578,-0.111247910937607,-0.67146318313692,0.650098764001054,-0.192135363777361,-0.200988354436635,-0.244894463135946,-0.12007678184684
"Temp_Max_Avg_Mad",0.611186812160479,0.261310714865183,-0.570354550916363,-0.106073182965347,0.363147192702202,-0.0553816700468692,-0.131473595529085,0.304098794422688,0.461571489870129,0.864162241215767,-0.197264697007428,0.840066124153202,0.751391899719295,-0.375960411770532,-0.376787810609678,-0.371878588707531,-0.629713801841434,0.352753636305039,0.831058529158191,-0.406675453067136,0.778034900519058,0.776351097571326,-0.409809730733905,-0.506481830407217,-0.452541621386524,-0.469977427463767,0.25560357472647,1,-0.269291748399101,0.924864944664471,0.948404078265456,-0.186810224491812,-0.535993697960572,-0.482614078510673,-0.544182313214196,0.283075323950709,0.00881754503638641,-0.0998044720785207,-0.139935836705572,-0.357030704423533
"Temp_Min_Avg_Mad",-0.303886310161627,-0.128284447562665,0.261640269167289,-0.0994956773005207,-0.358593920664688,-0.311900933833367,0.31136469401395,-0.0040925941754093,-0.230148560396833,-0.438473460400841,0.683093233411185,-0.117924758831237,-0.602163609123872,-0.0930764753895991,-0.285138029399016,-0.283047926511393,-0.223462499657969,0.506245827198655,-0.310304210660705,0.83245525138841,0.0731012410493346,-0.52268012649366,0.059127222347713,-0.230479831441764,-0.240583513412692,-0.507155517875026,0.514068635314305,-0.269291748399101,1,0.117188582268549,-0.560748807406216,-0.0199197532673807,-0.184943269995284,-0.211575362747586,-0.512374255722767,0.306170796082208,-0.207673653691902,0.0189503388302293,-0.12737104617995,0.153360754980398
"Temp_Avg_Mad",0.510258517655365,0.218807208633279,-0.484834390395848,-0.148672239152868,0.232876014619131,-0.18027423695082,-0.0126233635697407,0.311971718158762,0.385092438429294,0.717981516623845,0.066321976177006,0.819712820791003,0.53705382184555,-0.424446124474453,-0.501141230108211,-0.495253475504702,-0.737604825636654,0.563668863008267,0.734456733543216,-0.0906426215426521,0.831178956718209,0.594178535295446,-0.399248979342106,-0.613298582439086,-0.561665011814514,-0.684909697042152,0.466576451663632,0.924864944664471,0.117188582268549,1,0.756567528910464,-0.200505379357664,-0.625749705627475,-0.581221009325759,-0.763490845148331,0.412810049718693,-0.0729141601163726,-0.0954355736717274,-0.194599049977822,-0.307611807091017
"Diurnal_Range_Avg_Mad",0.625512869850786,0.266895493433518,-0.57649898408534,-0.0584394226695261,0.430272941050608,0.0550717995733024,-0.215543352671494,0.26279516117677,0.472605267255231,0.887317148577271,-0.394489796791051,0.761067554236967,0.844254375628225,-0.292587301563421,-0.230066947349409,-0.226534379406648,-0.467824301949669,0.136609165118675,0.8166596764574,-0.623703789354792,0.644845672286044,0.839544900522798,-0.371798577858496,-0.359565797462003,-0.30986451230205,-0.237092375637741,0.0505092985891069,0.948404078265456,-0.560748807406216,0.756567528910464,1,-0.154051267609016,-0.399930344076104,-0.345269436774281,-0.299171595827851,0.142573457539751,0.0759524706817835,-0.0920454609031857,-0.0783754054190703,-0.357446165938147
"Sol_Ener_Accu_Mad",-0.19071514990546,0.001527646324378,0.0298197534616307,-0.238549497760643,0.00380426711894818,-0.121063006268882,0.0295329289474677,0.00399347483273833,-0.136701755209059,-0.137490827983428,-0.041861528189033,-0.172393952421058,-0.0917941838469562,0.219953302006353,0.099565403570415,0.0809503021650839,0.22098593166345,0.11243982140416,-0.0946577377318805,-0.0316585953340236,-0.130277694107017,-0.0617537717788312,0.27036026020131,0.186909283541476,0.132494176866735,0.143330075776701,0.0457397062559287,-0.186810224491812,-0.0199197532673807,-0.200505379357664,-0.154051267609016,1,0.445425489748368,0.289014066722931,0.0352366277504513,0.367268531628053,-0.0400567317250104,0.0184075034567225,-0.128327860242046,0.22631145158467
"Rain_Accu_Mad",-0.284271923336477,-0.0325601210957909,0.303920109134666,0.0167132073992298,-0.0825567706212913,0.0540327910831995,-0.0273605995756319,-0.252206139728755,-0.233228967198201,-0.244580522273101,-0.41170311877193,-0.485017716970431,-0.0355067138080243,0.520770308034976,0.414369674993299,0.436116252346749,0.482579522323233,-0.279923638274682,-0.257601052403731,-0.239421599258233,-0.436417581259571,-0.115631607315547,0.441310005683587,0.511276203968655,0.48887908251183,0.369922001660463,-0.248151719988578,-0.535993697960572,-0.184943269995284,-0.625749705627475,-0.399930344076104,0.445425489748368,1,0.892769653124795,0.580850953061573,-0.185355845164214,0.0559926502076793,-0.0102748370621904,0.0289271006904836,0.307893657203661
